t;z;y;vz;vy;az;ay;KE;V
8.988e-15;8.38522944758624e-9;1.3497470812373402e-10;5.1746172676082505e6;-242641.680544938;-5.168853842294381e19;-2.777807177513328e20;8.916107783366736e-14;7.749166122039812e-14
8.989e-15;8.39040406485385e-9;1.3473206644318908e-10;5.174565579069828e6;-242919.46126268932;-1.9809477444301996e20;-2.9411159770111918e20;8.915974865221656e-14;7.749549372622826e-14
8.990000000000001e-15;8.395578630432919e-9;1.3448914698192639e-10;5.174367484295385e6;-243213.57286039044;-3.46937084787955e20;-3.282963592492651e20;8.91534123383902e-14;7.750435366862971e-14
8.991000000000001e-15;8.400752997917215e-9;1.34245933409066e-10;5.174020547210597e6;-243541.86921963972;-5.0069805092653354e20;-3.828860334345143e20;8.914201470303043e-14;7.751833697762704e-14
8.992000000000001e-15;8.405927018464426e-9;1.3400239153984634e-10;5.173519849159671e6;-243924.75525307423;-6.61473193743419e20;-4.6197356664280875e20;8.912542097799263e-14;7.753761287838998e-14
8.993e-15;8.411100538313585e-9;1.3375846678459326e-10;5.172858375965928e6;-244386.72881971704;-8.306590742334624e20;-5.71476506185494e20;8.910343179302744e-14;7.756240301100027e-14
8.994e-15;8.416273396689552e-9;1.3351408005577355e-10;5.172027716891694e6;-244958.20532590253;-1.0083330436654726e21;-7.194599955536995e20;8.907581044055258e-14;7.759294436506168e-14
8.995e-15;8.421445424406443e-9;1.3326912185044765e-10;5.171019383848028e6;-245677.66532145624;-1.19213564125803e21;-9.163564312409427e20;8.904233212224632e-14;7.762942238382697e-14
8.996e-15;8.426616443790292e-9;1.330234441851262e-10;5.16982724820677e6;-246594.02175269718;-1.375412691969948e21;-1.1747419022702675e21;8.900287213368264e-14;7.767185343975062e-14
8.997e-15;8.431786271038498e-9;1.327768501633735e-10;5.1684518355148e6;-247768.76365496745;-1.5444258577285377e21;-1.507961745405434e21;8.895755771378834e-14;7.771988873392248e-14
8.998e-15;8.436954722874012e-9;1.3252908139971853e-10;5.166907409657071e6;-249276.72540037287;-1.6748484054672157e21;-1.9263523373947172e21;8.890701361610549e-14;7.777251222001653e-14
8.999000000000001e-15;8.442121630283669e-9;1.3227980467431815e-10;5.165232561251604e6;-251203.0777377676;-1.7289961584793312e21;-2.429400959179355e21;8.885272174761658e-14;7.782763331783854e-14
